Epoch 1, Training Loss: 2.471135004618776, Evaluation Loss: 2.4516280091603595, Evaluation Accuracy: 0.23733333333333334
Epoch 2, Training Loss: 2.4693828648495897, Evaluation Loss: 2.4496013083457946, Evaluation Accuracy: 0.29333333333333333
Epoch 3, Training Loss: 2.4671006424325173, Evaluation Loss: 2.446759630362193, Evaluation Accuracy: 0.344
Epoch 4, Training Loss: 2.463800610385049, Evaluation Loss: 2.4425415355364484, Evaluation Accuracy: 0.39466666666666667
Epoch 5, Training Loss: 2.458968256638747, Evaluation Loss: 2.436371408303579, Evaluation Accuracy: 0.432
Epoch 6, Training Loss: 2.452178029495183, Evaluation Loss: 2.427843330224355, Evaluation Accuracy: 0.472
Epoch 7, Training Loss: 2.4433113689296873, Evaluation Loss: 2.4170041491190593, Evaluation Accuracy: 0.5253333333333333
Epoch 8, Training Loss: 2.432808891097917, Evaluation Loss: 2.4046393100420635, Evaluation Accuracy: 0.5546666666666666
Epoch 9, Training Loss: 2.4217481901533455, Evaluation Loss: 2.3922479089101154, Evaluation Accuracy: 0.5706666666666667
Epoch 10, Training Loss: 2.4113776486749963, Evaluation Loss: 2.381184372027715, Evaluation Accuracy: 0.6
Epoch 11, Training Loss: 2.4022436940244267, Evaluation Loss: 2.3717907609144846, Evaluation Accuracy: 0.6266666666666667
Epoch 12, Training Loss: 2.394146132632314, Evaluation Loss: 2.3637827546596526, Evaluation Accuracy: 0.6613333333333333
Epoch 13, Training Loss: 2.3867558827984316, Evaluation Loss: 2.356854061047236, Evaluation Accuracy: 0.672
Epoch 14, Training Loss: 2.3798971076872704, Evaluation Loss: 2.3508311887582143, Evaluation Accuracy: 0.6853333333333333
Epoch 15, Training Loss: 2.373521435215015, Evaluation Loss: 2.3456255390644074, Evaluation Accuracy: 0.696
Epoch 16, Training Loss: 2.3676347625908134, Evaluation Loss: 2.3411692598660787, Evaluation Accuracy: 0.7013333333333334
Epoch 17, Training Loss: 2.362249871897443, Evaluation Loss: 2.3373820478916167, Evaluation Accuracy: 0.712
Epoch 18, Training Loss: 2.357363012031178, Evaluation Loss: 2.334165672858556, Evaluation Accuracy: 0.728
Epoch 19, Training Loss: 2.352945668804391, Evaluation Loss: 2.331412814895312, Evaluation Accuracy: 0.736
Epoch 20, Training Loss: 2.348950404997104, Evaluation Loss: 2.329024574995041, Evaluation Accuracy: 0.7493333333333333
Epoch 21, Training Loss: 2.3453237399041096, Evaluation Loss: 2.326926265954971, Evaluation Accuracy: 0.7466666666666667
Epoch 22, Training Loss: 2.3420152845226716, Evaluation Loss: 2.3250699639320374, Evaluation Accuracy: 0.7493333333333333
Epoch 23, Training Loss: 2.338980837950162, Evaluation Loss: 2.323425747156143, Evaluation Accuracy: 0.7573333333333333
Epoch 24, Training Loss: 2.3361820902461523, Evaluation Loss: 2.321970793247223, Evaluation Accuracy: 0.76
Epoch 25, Training Loss: 2.3335859399035237, Evaluation Loss: 2.320683454076449, Evaluation Accuracy: 0.7573333333333333
Epoch 26, Training Loss: 2.331164073701376, Evaluation Loss: 2.3195418431361516, Evaluation Accuracy: 0.768
Epoch 27, Training Loss: 2.3288926335675852, Evaluation Loss: 2.3185248947938284, Evaluation Accuracy: 0.768
Epoch 28, Training Loss: 2.3267515602214472, Evaluation Loss: 2.3176133351325987, Evaluation Accuracy: 0.7626666666666667
Epoch 29, Training Loss: 2.324723981808279, Evaluation Loss: 2.316790420571963, Evaluation Accuracy: 0.7626666666666667
Epoch 30, Training Loss: 2.3227956202602353, Evaluation Loss: 2.3160421382983527, Evaluation Accuracy: 0.7626666666666667
Epoch 31, Training Loss: 2.320954330295364, Evaluation Loss: 2.3153568754990896, Evaluation Accuracy: 0.7626666666666667
Epoch 32, Training Loss: 2.3191897843047995, Evaluation Loss: 2.3147253585656484, Evaluation Accuracy: 0.7706666666666667
Epoch 33, Training Loss: 2.317493125716739, Evaluation Loss: 2.314140218893687, Evaluation Accuracy: 0.7733333333333333
Epoch 34, Training Loss: 2.3158568731634737, Evaluation Loss: 2.3135956159830093, Evaluation Accuracy: 0.7733333333333333
Epoch 35, Training Loss: 2.3142746570153294, Evaluation Loss: 2.313087054570516, Evaluation Accuracy: 0.7813333333333333
Epoch 36, Training Loss: 2.312741198958717, Evaluation Loss: 2.3126110906203587, Evaluation Accuracy: 0.784
Epoch 37, Training Loss: 2.3112520771685525, Evaluation Loss: 2.312164983431498, Evaluation Accuracy: 0.784
Epoch 38, Training Loss: 2.309803677019035, Evaluation Loss: 2.3117466519673666, Evaluation Accuracy: 0.784
Epoch 39, Training Loss: 2.3083931100424206, Evaluation Loss: 2.3113544716040293, Evaluation Accuracy: 0.7866666666666666
Epoch 40, Training Loss: 2.307017969651439, Evaluation Loss: 2.3109870874881744, Evaluation Accuracy: 0.7866666666666666
Epoch 41, Training Loss: 2.3056763938972566, Evaluation Loss: 2.310643391251564, Evaluation Accuracy: 0.7893333333333333
Epoch 42, Training Loss: 2.304366849392692, Evaluation Loss: 2.310322416742643, Evaluation Accuracy: 0.7866666666666666
Epoch 43, Training Loss: 2.30308809603884, Evaluation Loss: 2.310023282686869, Evaluation Accuracy: 0.7893333333333333
Epoch 44, Training Loss: 2.301839114886737, Evaluation Loss: 2.3097452580928803, Evaluation Accuracy: 0.7866666666666666
Epoch 45, Training Loss: 2.300619085477255, Evaluation Loss: 2.3094875524838767, Evaluation Accuracy: 0.792
